epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,9781.8,1.11123,0.70813,1.33368,0.94813,0.8971,0.94389,0.71647,0.94088,1.1851,1.17506,0.00097775,0.00097775,0.00097775
24,10225.3,1.07756,0.68056,1.26547,0.90602,0.89346,0.92457,0.75728,0.6912,0.60641,1.05704,0.000965375,0.000965375,0.000965375
25,10620.7,1.06017,0.68423,1.28514,0.90153,0.9308,0.93146,0.81513,0.51,0.45432,0.9452,0.000953,0.000953,0.000953
26,11062.6,1.07385,0.65275,1.27635,0.9,0.89999,0.92774,0.73252,0.63946,0.57918,1.02021,0.000940625,0.000940625,0.000940625
27,11523.1,1.05384,0.65132,1.27691,0.91745,0.90623,0.95847,0.79092,0.67912,0.52876,1.01513,0.00092825,0.00092825,0.00092825
28,11978.2,1.03847,0.61244,1.2571,0.94656,0.95152,0.97237,0.78492,0.67075,0.43025,0.99849,0.000915875,0.000915875,0.000915875
29,12493.7,1.07331,0.65138,1.28527,0.97922,0.98032,0.98536,0.83295,0.58043,0.37652,0.96362,0.0009035,0.0009035,0.0009035
30,13000.4,1.00532,0.62002,1.2341,0.91223,0.88032,0.91425,0.7477,0.6138,0.54119,1.0367,0.000891125,0.000891125,0.000891125
31,13528.4,1.00062,0.60109,1.24965,0.94545,0.96651,0.96581,0.83041,0.58323,0.38504,0.97576,0.00087875,0.00087875,0.00087875
32,13928.3,0.98685,0.6055,1.23857,0.93278,0.94404,0.97898,0.84748,0.5992,0.4468,0.99408,0.000866375,0.000866375,0.000866375
33,14324.1,0.96666,0.61351,1.21998,0.93237,0.93257,0.95102,0.79757,0.53547,0.45717,0.98047,0.000854,0.000854,0.000854
34,14703.8,1.01021,0.62644,1.25338,0.93107,0.90735,0.96704,0.85269,0.67628,0.60463,1.08459,0.000841625,0.000841625,0.000841625
35,15109,0.99423,0.61494,1.25288,0.83922,0.9415,0.86399,0.76249,0.5879,0.46943,1.00231,0.00082925,0.00082925,0.00082925
36,15487.9,1.03279,0.60802,1.25654,0.93743,0.96528,0.9842,0.87768,0.4449,0.32214,0.90754,0.000816875,0.000816875,0.000816875
37,15894.7,1.00297,0.58883,1.25425,0.95646,0.89132,0.9579,0.84605,0.53512,0.44355,0.94626,0.0008045,0.0008045,0.0008045
38,16273.4,0.97243,0.58267,1.1954,0.95011,0.94606,0.96503,0.82623,0.51527,0.32222,0.93142,0.000792125,0.000792125,0.000792125
39,16680,0.94013,0.5431,1.19506,0.97868,0.98179,0.98959,0.85392,0.45428,0.3167,0.91663,0.00077975,0.00077975,0.00077975
40,17059.9,0.97754,0.55142,1.21195,0.91324,0.94699,0.96313,0.8665,0.46018,0.32858,0.93007,0.000767375,0.000767375,0.000767375
41,17465.7,0.93343,0.55369,1.2351,0.9248,0.94635,0.9475,0.83802,0.60404,0.39684,1.01055,0.000755,0.000755,0.000755
