epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11226,0.74105,0.45202,1.03998,0.97829,0.9811,0.99131,0.89884,0.46759,0.3192,0.87751,0.00073025,0.00073025,0.00073025
86,11356.7,0.76849,0.47008,1.0642,0.97463,0.95721,0.98784,0.87895,0.48706,0.34036,0.86954,0.000724062,0.000724062,0.000724062
87,11488.4,0.76238,0.47942,1.06615,0.98265,0.98421,0.98902,0.88293,0.50165,0.3226,0.88276,0.000717875,0.000717875,0.000717875
88,11619.7,0.74721,0.45739,1.07227,0.96834,0.98272,0.98743,0.88936,0.48707,0.3281,0.88625,0.000711687,0.000711687,0.000711687
89,11750.4,0.73024,0.45028,1.04807,0.9776,0.93716,0.97515,0.86719,0.49088,0.34558,0.87,0.0007055,0.0007055,0.0007055
90,11879.6,0.73889,0.4708,1.05378,0.97625,0.97882,0.98883,0.88207,0.46648,0.33192,0.8706,0.000699312,0.000699312,0.000699312
91,12011.1,0.74435,0.46366,1.05843,0.984,0.98186,0.98909,0.88966,0.4892,0.31622,0.88762,0.000693125,0.000693125,0.000693125
92,12143.1,0.74484,0.46194,1.07339,0.97092,0.98218,0.99093,0.89549,0.45135,0.306,0.86765,0.000686937,0.000686937,0.000686937
93,12274.8,0.73989,0.45902,1.05798,0.97517,0.97885,0.9835,0.87992,0.47014,0.35236,0.87009,0.00068075,0.00068075,0.00068075
94,12405.2,0.76886,0.48535,1.06578,0.97669,0.9453,0.97966,0.87564,0.48933,0.344,0.87197,0.000674562,0.000674562,0.000674562
95,12536.7,0.76163,0.46133,1.06776,0.98068,0.94955,0.98384,0.88634,0.45714,0.32048,0.86725,0.000668375,0.000668375,0.000668375
96,12667.3,0.72238,0.4406,1.05934,0.97627,0.98007,0.98662,0.89315,0.48624,0.33246,0.87669,0.000662188,0.000662188,0.000662188
97,12799.1,0.72816,0.44299,1.04865,0.98037,0.9887,0.98827,0.88812,0.47294,0.29677,0.86861,0.000656,0.000656,0.000656
98,12930.6,0.70928,0.43632,1.03184,0.97616,0.98665,0.98874,0.89211,0.45361,0.30263,0.8596,0.000649813,0.000649813,0.000649813
99,13061.3,0.71418,0.45199,1.04348,0.98747,0.96864,0.98768,0.88677,0.47447,0.30503,0.85669,0.000643625,0.000643625,0.000643625
100,13192.4,0.70172,0.44138,1.0369,0.97826,0.98015,0.9878,0.87132,0.50418,0.31716,0.87279,0.000637437,0.000637437,0.000637437
101,13322.2,0.6898,0.43193,1.02914,0.96865,0.95965,0.97845,0.86353,0.51348,0.30572,0.8798,0.00063125,0.00063125,0.00063125
102,13453.4,0.68873,0.42291,1.01606,0.95798,0.98115,0.98736,0.88656,0.44839,0.31485,0.85807,0.000625062,0.000625062,0.000625062
103,13585.7,0.71256,0.43572,1.04278,0.96348,0.98878,0.988,0.88236,0.48387,0.30258,0.86993,0.000618875,0.000618875,0.000618875
104,13717,0.7351,0.44971,1.05807,0.97544,0.9838,0.98598,0.89041,0.46887,0.2991,0.86353,0.000612687,0.000612687,0.000612687
105,13848.8,0.70498,0.43285,1.02374,0.96245,0.98626,0.98506,0.90728,0.45082,0.30684,0.85934,0.0006065,0.0006065,0.0006065
106,13979.8,0.66865,0.42743,1.00954,0.96613,0.95041,0.97484,0.8942,0.43815,0.3307,0.85515,0.000600313,0.000600313,0.000600313
107,14112.9,0.66023,0.42175,1.01581,0.98115,0.94197,0.9649,0.88944,0.42376,0.31645,0.84951,0.000594125,0.000594125,0.000594125
108,14242.3,0.66403,0.41357,1.0138,0.96976,0.97819,0.9804,0.89215,0.44261,0.31498,0.85401,0.000587938,0.000587938,0.000587938
109,14372.9,0.68143,0.42762,1.01969,0.95819,0.96502,0.983,0.86662,0.54515,0.34538,0.89265,0.00058175,0.00058175,0.00058175
110,14502.5,0.71592,0.436,1.03878,0.97279,0.97736,0.98523,0.86679,0.50977,0.32357,0.88355,0.000575563,0.000575563,0.000575563
111,14634.3,0.67151,0.41804,1.01519,0.98137,0.98227,0.98525,0.89481,0.43723,0.28432,0.85126,0.000569375,0.000569375,0.000569375
112,14765.5,0.66169,0.41075,1.01466,0.98319,0.98344,0.98548,0.89158,0.44419,0.29276,0.85551,0.000563187,0.000563187,0.000563187
113,14897.1,0.66286,0.42236,1.0214,0.95938,0.97896,0.98403,0.88285,0.46074,0.32951,0.86564,0.000557,0.000557,0.000557
114,15028.4,0.67025,0.42195,1.01973,0.9751,0.95934,0.98473,0.90113,0.44294,0.32198,0.85492,0.000550813,0.000550813,0.000550813
115,15160.1,0.66142,0.42266,1.01859,0.96467,0.98035,0.98179,0.89895,0.44332,0.32906,0.85508,0.000544625,0.000544625,0.000544625
116,15291.5,0.67223,0.43273,1.02252,0.97889,0.97884,0.9873,0.90164,0.45143,0.32317,0.8731,0.000538438,0.000538438,0.000538438
117,15423.9,0.66448,0.43097,1.02635,0.97882,0.98561,0.98674,0.90001,0.43374,0.28983,0.85169,0.00053225,0.00053225,0.00053225
118,15554.3,0.65601,0.40735,1.00348,0.97632,0.98756,0.98718,0.91453,0.41447,0.28188,0.84773,0.000526063,0.000526063,0.000526063
119,15685.7,0.67144,0.42144,1.02173,0.9767,0.96578,0.97926,0.90012,0.43077,0.29989,0.85103,0.000519875,0.000519875,0.000519875
120,15817.1,0.63858,0.41096,0.99863,0.96118,0.93156,0.97895,0.89181,0.45402,0.324,0.85935,0.000513688,0.000513688,0.000513688
121,15949.1,0.64846,0.40074,1.00498,0.98342,0.9838,0.98341,0.88693,0.44644,0.28457,0.85514,0.0005075,0.0005075,0.0005075
122,16080,0.63943,0.39362,1.00189,0.97582,0.9821,0.98409,0.86388,0.50329,0.29907,0.8782,0.000501313,0.000501313,0.000501313
123,16211.6,0.65145,0.39651,1.00297,0.98261,0.95631,0.98585,0.8687,0.5041,0.30671,0.87681,0.000495125,0.000495125,0.000495125
124,16343.1,0.65137,0.39517,1.00629,0.97086,0.97512,0.98334,0.90355,0.42556,0.28531,0.85002,0.000488938,0.000488938,0.000488938
125,16473.5,0.61995,0.38323,0.9952,0.98403,0.9588,0.97352,0.89012,0.42586,0.29374,0.84872,0.00048275,0.00048275,0.00048275
126,16604.6,0.65135,0.39668,1.00779,0.98042,0.95158,0.97812,0.856,0.51257,0.31044,0.88139,0.000476562,0.000476562,0.000476562
127,16736.1,0.65721,0.4125,1.03418,0.97379,0.98564,0.98246,0.87571,0.50522,0.30434,0.88146,0.000470375,0.000470375,0.000470375
128,16866.9,0.62359,0.37868,0.98484,0.97989,0.9588,0.96909,0.88823,0.46168,0.31234,0.86859,0.000464188,0.000464188,0.000464188
129,16998,0.63785,0.40008,1.01128,0.98148,0.9588,0.98294,0.89957,0.43363,0.30144,0.85538,0.000458,0.000458,0.000458
130,17130.5,0.63051,0.39762,1.00436,0.94517,0.93111,0.9782,0.88599,0.46158,0.3447,0.8703,0.000451813,0.000451813,0.000451813
131,17262,0.60467,0.38631,0.98412,0.97237,0.98541,0.9776,0.89127,0.45787,0.30338,0.8608,0.000445625,0.000445625,0.000445625
132,17392.8,0.61647,0.38781,0.99263,0.98058,0.9588,0.97834,0.88462,0.44282,0.3003,0.85951,0.000439437,0.000439437,0.000439437
133,17523.5,0.60451,0.37288,0.98874,0.98294,0.9588,0.97813,0.89159,0.43914,0.28427,0.86164,0.00043325,0.00043325,0.00043325
134,17654.9,0.60937,0.38462,1.00368,0.97485,0.97581,0.98372,0.88095,0.46693,0.28884,0.87213,0.000427062,0.000427062,0.000427062
